DateTime,ET,Year
9/5/17 0:00,0.58,2016
9/6/17 0:00,0.76,2016
9/7/17 0:00,0.74,2016
9/8/17 0:00,0.74,2016
9/9/17 0:00,0.64,2016
9/10/17 0:00,0.37,2016
9/11/17 0:00,0.13,2016
9/12/17 0:00,-0.06,2016
9/13/17 0:00,-0.19,2016
9/14/17 0:00,-0.24,2016
9/15/17 0:00,-0.24,2016
9/16/17 0:00,-0.25,2016
9/17/17 0:00,-0.12,2016
9/18/17 0:00,-0.05,2016
9/19/17 0:00,-0.09,2016
9/20/17 0:00,-0.21,2016
9/21/17 0:00,-0.21,2016
9/22/17 0:00,-0.11,2016
9/23/17 0:00,-0.04,2016
9/24/17 0:00,0.04,2016
9/25/17 0:00,0.23,2016
9/26/17 0:00,0.44,2016
9/27/17 0:00,0.62,2016
9/28/17 0:00,0.63,2016
9/29/17 0:00,0.5,2016
9/30/17 0:00,0.38,2016
4/1/17 0:00,0.067,2017
4/2/17 0:00,0.032,2017
4/3/17 0:00,0.076,2017
4/4/17 0:00,0.167,2017
4/5/17 0:00,0.332,2017
4/6/17 0:00,0.4,2017
4/7/17 0:00,0.374,2017
4/8/17 0:00,0.319,2017
4/9/17 0:00,0.409,2017
4/10/17 0:00,0.477,2017
4/11/17 0:00,0.52,2017
4/12/17 0:00,0.482,2017
4/13/17 0:00,0.395,2017
4/14/17 0:00,0.368,2017
4/15/17 0:00,0.35,2017
4/16/17 0:00,0.282,2017
4/17/17 0:00,0.172,2017
4/18/17 0:00,0.052,2017
4/19/17 0:00,-0.072,2017
4/20/17 0:00,-0.153,2017
4/21/17 0:00,-0.213,2017
4/22/17 0:00,-0.254,2017
4/23/17 0:00,-0.391,2017
4/24/17 0:00,-0.481,2017
4/25/17 0:00,-0.572,2017
4/26/17 0:00,-0.636,2017
4/27/17 0:00,-0.661,2017
4/28/17 0:00,-0.655,2017
4/29/17 0:00,-0.658,2017
4/30/17 0:00,-0.643,2017
5/1/17 0:00,-0.655,2017
5/2/17 0:00,-0.592,2017
5/3/17 0:00,-0.434,2017
5/4/17 0:00,-0.301,2017
5/5/17 0:00,-0.22,2017
5/6/17 0:00,-0.094,2017
5/7/17 0:00,0.073,2017
5/8/17 0:00,0.234,2017
5/9/17 0:00,0.315,2017
5/10/17 0:00,0.308,2017
5/11/17 0:00,0.248,2017
5/12/17 0:00,0.211,2017
5/13/17 0:00,0.156,2017
5/14/17 0:00,0.116,2017
5/15/17 0:00,-0.018,2017
5/16/17 0:00,-0.175,2017
5/17/17 0:00,-0.331,2017
5/18/17 0:00,-0.443,2017
5/19/17 0:00,-0.536,2017
5/20/17 0:00,-0.619,2017
5/21/17 0:00,-0.715,2017
5/22/17 0:00,-0.701,2017
5/23/17 0:00,-0.727,2017
5/24/17 0:00,-0.787,2017
5/25/17 0:00,-0.806,2017
5/26/17 0:00,-0.822,2017
5/27/17 0:00,-0.871,2017
5/28/17 0:00,-0.913,2017
5/29/17 0:00,-0.977,2017
5/30/17 0:00,-0.976,2017
5/31/17 0:00,-0.905,2017
6/1/17 0:00,-0.876,2017
6/2/17 0:00,-0.845,2017
6/3/17 0:00,-0.792,2017
6/4/17 0:00,-0.758,2017
6/5/17 0:00,-0.758,2017
6/6/17 0:00,-0.745,2017
6/7/17 0:00,-0.737,2017
6/8/17 0:00,-0.709,2017
6/9/17 0:00,-0.702,2017
6/10/17 0:00,-0.654,2017
6/11/17 0:00,-0.493,2017
6/12/17 0:00,-0.402,2017
6/13/17 0:00,-0.33,2017
6/14/17 0:00,-0.304,2017
6/15/17 0:00,-0.3,2017
6/16/17 0:00,-0.314,2017
6/17/17 0:00,-0.36,2017
6/18/17 0:00,-0.493,2017
6/19/17 0:00,-0.526,2017
6/20/17 0:00,-0.602,2017
6/21/17 0:00,-0.677,2017
6/22/17 0:00,-0.756,2017
6/23/17 0:00,-0.811,2017
6/24/17 0:00,-0.861,2017
6/25/17 0:00,-0.893,2017
6/26/17 0:00,-0.943,2017
6/27/17 0:00,-0.975,2017
6/28/17 0:00,-0.97,2017
6/29/17 0:00,-0.916,2017
6/30/17 0:00,-0.894,2017
7/1/17 0:00,-0.86,2017
7/2/17 0:00,-0.855,2017
7/3/17 0:00,-0.837,2017
7/4/17 0:00,-0.806,2017
7/5/17 0:00,-0.794,2017
7/6/17 0:00,-0.799,2017
7/7/17 0:00,-0.778,2017
7/8/17 0:00,-0.817,2017
7/9/17 0:00,-0.819,2017
7/10/17 0:00,-0.853,2017
7/11/17 0:00,-0.851,2017
7/12/17 0:00,-0.798,2017
7/13/17 0:00,-0.785,2017
7/14/17 0:00,-0.767,2017
7/15/17 0:00,-0.705,2017
7/16/17 0:00,-0.673,2017
7/17/17 0:00,-0.606,2017
7/18/17 0:00,-0.554,2017
7/19/17 0:00,-0.501,2017
